Class,precision,recall,f1-score
edamame,0.9702970297029703,0.98,0.9751243781094527
giovetsi,1.0,0.8301886792452831,0.9072164948453608
pho,0.9183673469387755,0.8910891089108911,0.9045226130653267
hot_and_sour_soup,0.9157894736842105,0.87,0.8923076923076924
miso_soup,0.8598130841121495,0.92,0.8888888888888888
bibimbap,0.9333333333333333,0.84,0.8842105263157894
cannoli,0.9139784946236559,0.85,0.8808290155440415
onion_rings,0.9642857142857143,0.81,0.8804347826086957
oysters,0.8440366972477065,0.92,0.8803827751196173
spaghetti_carbonara,0.8877551020408163,0.87,0.8787878787878788
sashimi,0.8854166666666666,0.85,0.8673469387755102
churros,0.9032258064516129,0.8316831683168316,0.865979381443299
seaweed_salad,0.839622641509434,0.89,0.8640776699029126
deviled_eggs,0.9204545454545454,0.81,0.8617021276595744
macarons,0.8842105263157894,0.84,0.8615384615384616
frozen_yogurt,0.8924731182795699,0.83,0.8601036269430051
spaghetti_bolognese,0.8924731182795699,0.83,0.8601036269430051
beignets,0.8333333333333334,0.85,0.8415841584158416
dumplings,0.9390243902439024,0.7623762376237624,0.8415300546448088
eggs_benedict,0.8541666666666666,0.82,0.8367346938775511
sushi,0.723404255319149,0.9855072463768116,0.8343558282208589
poutine,0.9058823529411765,0.77,0.8324324324324325
red_velvet_cake,0.8367346938775511,0.82,0.8282828282828283
lobster_roll_sandwich,0.8681318681318682,0.79,0.8272251308900523
pad_thai,0.8018867924528302,0.85,0.8252427184466019
chicken_wings,0.8076923076923077,0.84,0.8235294117647058
lobster_bisque,0.8350515463917526,0.81,0.8223350253807107
mussels,0.7652173913043478,0.88,0.8186046511627907
gyoza,0.7980769230769231,0.83,0.8137254901960784
waffles,0.9024390243902439,0.74,0.8131868131868132
ramen,0.81,0.81,0.81
cup_cakes,0.8461538461538461,0.77,0.806282722513089
prime_rib,0.8210526315789474,0.78,0.8
creme_brulee,0.7685185185185185,0.83,0.7980769230769231
caesar_salad,0.7685185185185185,0.83,0.7980769230769231
fried_rice,0.8888888888888888,0.72,0.7955801104972375
greek_salad,0.9324324324324325,0.69,0.7931034482758621
guacamole,0.79,0.79,0.79
takoyaki,0.8875,0.71,0.7888888888888889
spring_rolls,0.7327586206896551,0.85,0.7870370370370371
french_fries,0.7821782178217822,0.79,0.7860696517412935
fried_calamari,0.7938144329896907,0.77,0.7817258883248731
croque_madame,0.7016129032258065,0.87,0.7767857142857143
clam_chowder,0.7596153846153846,0.79,0.7745098039215687
pizza,0.9855072463768116,0.6296296296296297,0.768361581920904
pancakes,0.7872340425531915,0.7326732673267327,0.7589743589743589
peking_duck,0.782608695652174,0.72,0.75
escargots,0.7222222222222222,0.78,0.75
french_onion_soup,0.7684210526315789,0.73,0.7487179487179487
cheese_plate,0.8023255813953488,0.69,0.7419354838709677
club_sandwich,0.8271604938271605,0.67,0.7403314917127072
caprese_salad,0.7717391304347826,0.71,0.7395833333333334
baby_back_ribs,0.7634408602150538,0.71,0.7357512953367875
baklava,0.9242424242424242,0.61,0.7349397590361446
macaroni_and_cheese,0.6869565217391305,0.79,0.7348837209302326
paella,0.7346938775510204,0.7128712871287128,0.7236180904522613
beef_carpaccio,0.7582417582417582,0.69,0.7225130890052356
hot_dog,0.7640449438202247,0.68,0.7195767195767195
garlic_bread,0.7857142857142857,0.66,0.717391304347826
strawberry_shortcake,0.810126582278481,0.64,0.7150837988826816
fish_and_chips,0.6818181818181818,0.75,0.7142857142857143
donuts,0.7340425531914894,0.69,0.711340206185567
chicken_quesadilla,0.6666666666666666,0.76,0.7102803738317757
nachos,0.7142857142857143,0.7,0.7070707070707071
ice_cream,0.7029702970297029,0.71,0.7064676616915423
hamburger,0.7311827956989247,0.6732673267326733,0.7010309278350515
risotto,0.6341463414634146,0.78,0.6995515695067265
falafel,0.7083333333333334,0.68,0.6938775510204082
tiramisu,0.696969696969697,0.69,0.6934673366834171
carrot_cake,0.7010309278350515,0.68,0.6903553299492385
gyros,1.0,0.525,0.6885245901639344
panna_cotta,0.6542056074766355,0.7,0.6763285024154589
pulled_pork_sandwich,0.7032967032967034,0.64,0.6701570680628273
chicken_curry,0.6283185840707964,0.71,0.6666666666666666
hummus,0.6842105263157895,0.65,0.6666666666666666
chocolate_cake,0.7176470588235294,0.61,0.6594594594594595
beef_tartare,0.5594405594405595,0.8,0.6584362139917695
shrimp_and_grits,0.6888888888888889,0.62,0.6526315789473685
samosa,0.6,0.69,0.641860465116279
bruschetta,0.7307692307692307,0.57,0.6404494382022472
breakfast_burrito,0.576,0.72,0.64
lasagna,0.6595744680851063,0.62,0.6391752577319587
french_toast,0.6111111111111112,0.66,0.6346153846153846
gnocchi,0.7794117647058824,0.53,0.6309523809523809
grilled_cheese_sandwich,0.5961538461538461,0.62,0.6078431372549019
beet_salad,0.5675675675675675,0.63,0.5971563981042654
scallops,0.6105263157894737,0.58,0.5948717948717949
crab_cakes,0.5227272727272727,0.69,0.5948275862068966
cheesecake,0.474025974025974,0.73,0.5748031496062992
apple_pie,0.5894736842105263,0.56,0.5743589743589743
omelette,0.6455696202531646,0.51,0.5698324022346368
bread_pudding,0.49230769230769234,0.64,0.5565217391304348
foie_gras,0.5041322314049587,0.61,0.5520361990950227
ravioli,0.4959349593495935,0.61,0.547085201793722
ceviche,0.5862068965517241,0.51,0.5454545454545454
huevos_rancheros,0.4918032786885246,0.6,0.5405405405405406
chocolate_mousse,0.5473684210526316,0.52,0.5333333333333333
grilled_salmon,0.5555555555555556,0.5,0.5263157894736842
filet_mignon,0.4830508474576271,0.57,0.5229357798165137
tacos,0.391304347826087,0.72,0.5070422535211268
pasta,0.5,0.5,0.5
tuna_tartare,0.581081081081081,0.43,0.4942528735632184
pork_chop,0.3258426966292135,0.58,0.4172661870503597
steak,0.4025974025974026,0.3069306930693069,0.34831460674157305
